Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,ChainId,Chain,Value(ETH)
0x3974fc00514ed7eaa8e8d0af36905bbc246439dbcb77e03537050b165ecc263e,45516568,1756713296,2025-09-01T07:54:56.000Z,0x068E391D5d73B5AF5EbeAF40cAe725f59d354c1A,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,149606,0,0,true,,0x3072c555,43113,C-Chain Fuji,0
0xd6f14cb53c39d02c54506fc7ca6fdb1b4692c620108a8ec55eec213c36147fc1,45338162,1756365980,2025-08-28T07:26:20.000Z,0x2b373281b278e50847d5aE5b0E176fdEC36338F0,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,183652,0,0,true,,0x5701f2c7,43113,C-Chain Fuji,0
0xf25ae63b6a1386215446506017893d1aa710b9aa2256a84279173a9c4c21fac3,45338095,1756365887,2025-08-28T07:24:47.000Z,0x2b373281b278e50847d5aE5b0E176fdEC36338F0,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,149702,0,0,true,,0x3072c555,43113,C-Chain Fuji,0
0xda0ef30e801ee17d38d2da130870da4991d99400e6209dd022f85b46f189c879,45181684,1756052035,2025-08-24T16:13:55.000Z,0xa4EC88F5bbA5Bd13E59D9B7bDa54bF0c2a6FCe04,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,50000000000000,0,0,202068,0,0,true,,MakePayment,43113,C-Chain Fuji,0
0x41f348ab5ec3aadc6faf358581e7c38d19308186a1d56a5408471cb1b6cf1833,45181667,1756052009,2025-08-24T16:13:29.000Z,0xa4EC88F5bbA5Bd13E59D9B7bDa54bF0c2a6FCe04,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,215874,0,0,true,,0xef69046f,43113,C-Chain Fuji,0
0xd3f924baed545f73b9df062f728d0253db6cafb24d1d669f8cc40328e27a0364,45181613,1756051911,2025-08-24T16:11:51.000Z,0xA8954CCd3C8B0533c3c7edAC5D94B53CB5F766ce,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,183652,0,0,true,,0x5701f2c7,43113,C-Chain Fuji,0
0xe34d54ea79cd91c69a582a3a7c6b15fd1ad7ea1481764a79c7f5556a0566e656,45181000,1756050809,2025-08-24T15:53:29.000Z,0x2de9B4D615f10339CA098a1c568B13d4D122D74E,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,183652,0,0,true,,0x5701f2c7,43113,C-Chain Fuji,0
0xefd35d661323beff854fc9919e4050211728258259931e6a91d3d104975dedef,45180782,1756050413,2025-08-24T15:46:53.000Z,0xa4EC88F5bbA5Bd13E59D9B7bDa54bF0c2a6FCe04,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,50000000000000,0,0,202068,0,0,true,,MakePayment,43113,C-Chain Fuji,0
0x28cd10f78e9eab2b6cc9fec28a65050c4d4088230712a31a8fcb62253a5b0fa8,45180764,1756050379,2025-08-24T15:46:19.000Z,0xa4EC88F5bbA5Bd13E59D9B7bDa54bF0c2a6FCe04,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,215874,0,0,true,,0xef69046f,43113,C-Chain Fuji,0
0x3d2cb69646a409b316f2eb6a829830a7e269c99ea544b3ebebeebbd8f75909f6,45180704,1756050265,2025-08-24T15:44:25.000Z,0x2de9B4D615f10339CA098a1c568B13d4D122D74E,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,183652,0,0,true,,0x5701f2c7,43113,C-Chain Fuji,0
0x7bceb35f2045836994bf9cec218e57971240118cae56e0100b3751e5c4760a0a,45180682,1756050220,2025-08-24T15:43:40.000Z,0x2de9B4D615f10339CA098a1c568B13d4D122D74E,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,183652,0,0,true,,0x5701f2c7,43113,C-Chain Fuji,0
0x658a5888596cb8483b1ef96151ab64ec4675c50e3ac6fad63c9ec1846200d888,45180626,1756050114,2025-08-24T15:41:54.000Z,0xA8954CCd3C8B0533c3c7edAC5D94B53CB5F766ce,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,183652,0,0,true,,0x5701f2c7,43113,C-Chain Fuji,0
0x1fac77df696d530d0257841c3afb2c3dfde258c5f3b047f0d53aaa953567369e,45180520,1756049907,2025-08-24T15:38:27.000Z,0xA8954CCd3C8B0533c3c7edAC5D94B53CB5F766ce,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,183652,0,0,true,,0x5701f2c7,43113,C-Chain Fuji,0
0x9d6155d1a95ffa5c81ddd85c82670575add090dec3088b8a7020c4a735096ac5,45180455,1756049777,2025-08-24T15:36:17.000Z,0xA8954CCd3C8B0533c3c7edAC5D94B53CB5F766ce,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,183652,0,0,true,,0x5701f2c7,43113,C-Chain Fuji,0
0x0c09be4476a36e6d1fb26d36830b0355563c03edd2dcabbca892504f3a23f5a2,45180077,1756049032,2025-08-24T15:23:52.000Z,0xA8954CCd3C8B0533c3c7edAC5D94B53CB5F766ce,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,183652,0,0,true,,0x5701f2c7,43113,C-Chain Fuji,0
0xfa11b93e729744de7e70886a09c5d9a1ec9d76151d55ba715511313acbc71bc8,45179712,1756048367,2025-08-24T15:12:47.000Z,0xA8954CCd3C8B0533c3c7edAC5D94B53CB5F766ce,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,183652,0,0,true,,0x5701f2c7,43113,C-Chain Fuji,0
0x6cdd744b09f5a8e902021f08ffbc673627171de821bf70a6ea931749c1c6a99a,45179689,1756048316,2025-08-24T15:11:56.000Z,0xA8954CCd3C8B0533c3c7edAC5D94B53CB5F766ce,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,183652,0,0,true,,0x5701f2c7,43113,C-Chain Fuji,0
0x1dbedc46230cb324041725d54d7a3e9834f34fce155292478a6a433380b9d768,45179007,1756047112,2025-08-24T14:51:52.000Z,0x2de9B4D615f10339CA098a1c568B13d4D122D74E,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,183652,0,0,true,,0x5701f2c7,43113,C-Chain Fuji,0
0xb726c4f767e1022fbcfc0cbf8527cdbe6c0e141f9f1b78eb8866a4d038e60c00,45178890,1756046903,2025-08-24T14:48:23.000Z,0x2de9B4D615f10339CA098a1c568B13d4D122D74E,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,183652,0,0,true,,0x5701f2c7,43113,C-Chain Fuji,0
0x510eea364de32381e4a73546a36a895a8b9fd0cb0517e728a10904ba2ce3a3c2,45177054,1756043550,2025-08-24T13:52:30.000Z,0xa4EC88F5bbA5Bd13E59D9B7bDa54bF0c2a6FCe04,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,50000000000000,0,0,270468,0,0,true,,MakePayment,43113,C-Chain Fuji,0
0x551da5ce2e4157bc30b74f0be3aa9f0bb7fd362fad958b92112dc6ee789f6fbc,45177034,1756043516,2025-08-24T13:51:56.000Z,0xa4EC88F5bbA5Bd13E59D9B7bDa54bF0c2a6FCe04,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,284274,0,0,true,,0xef69046f,43113,C-Chain Fuji,0
0x96ad66073a872792c2092e48163374e54b038807cff870aee4cf48f1d52cde60,45176973,1756043410,2025-08-24T13:50:10.000Z,0xA8954CCd3C8B0533c3c7edAC5D94B53CB5F766ce,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,183652,0,0,true,,0x5701f2c7,43113,C-Chain Fuji,0
0x7a5e2fbb95b5b1d19cba95fbbf465c15bc829dae04847cd8489b7548ffb96c8f,45176962,1756043390,2025-08-24T13:49:50.000Z,0xA8954CCd3C8B0533c3c7edAC5D94B53CB5F766ce,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,149678,0,0,true,,0x3072c555,43113,C-Chain Fuji,0
0x4de4a70ab26b0ce5cafe7775494786f4b65a62bede960d8f581b927752fb0d73,45176869,1756043236,2025-08-24T13:47:16.000Z,0xa4EC88F5bbA5Bd13E59D9B7bDa54bF0c2a6FCe04,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,149924,0,0,true,,RegisterRecycler,43113,C-Chain Fuji,0
